TRBV,TRBJ,count
TRBV6-4,TRBJ2-4,0
TRBV6-5,TRBJ2-4,1
TRBV6-6,TRBJ2-4,0
TRBV6-7,TRBJ2-4,0
TRBV6-9,TRBJ2-4,0
TRBV7-2,TRBJ2-4,0
TRBV7-3,TRBJ2-4,0
TRBV7-6,TRBJ2-4,0
TRBV7-7,TRBJ2-4,0
TRBV7-8,TRBJ2-4,1
TRBV7-9,TRBJ2-4,205
TRBV9,TRBJ2-4,1
TRBV10-1,TRBJ2-5,11
TRBV10-2,TRBJ2-5,0
TRBV10-3,TRBJ2-5,47
TRBV11-1,TRBJ2-5,0
TRBV11-2,TRBJ2-5,79
TRBV11-3,TRBJ2-5,13
TRBV12-2,TRBJ2-5,0
TRBV12-3,TRBJ2-5,1774
TRBV12-4,TRBJ2-5,1145
TRBV12-5,TRBJ2-5,0
TRBV13,TRBJ2-5,699
TRBV14,TRBJ2-5,208
TRBV15,TRBJ2-5,1676
TRBV16,TRBJ2-5,0
TRBV18,TRBJ2-5,122
TRBV19,TRBJ2-5,7
TRBV2,TRBJ2-5,3
TRBV20-1,TRBJ2-5,808
TRBV21-1,TRBJ2-5,0
TRBV23-1,TRBJ2-5,0
TRBV24-1,TRBJ2-5,105
TRBV25-1,TRBJ2-5,1
TRBV27,TRBJ2-5,880
TRBV28,TRBJ2-5,1416
TRBV29-1,TRBJ2-5,771
TRBV3-1,TRBJ2-5,53
TRBV3-2,TRBJ2-5,0
TRBV30,TRBJ2-5,1
TRBV4-1,TRBJ2-5,299
TRBV4-2,TRBJ2-5,78
TRBV4-3,TRBJ2-5,1472
TRBV5-1,TRBJ2-5,12617
TRBV5-3,TRBJ2-5,0
TRBV5-4,TRBJ2-5,7
TRBV5-5,TRBJ2-5,2
TRBV5-6,TRBJ2-5,37
TRBV5-8,TRBJ2-5,37
TRBV6-1,TRBJ2-5,89
TRBV6-2,TRBJ2-5,2
TRBV6-3,TRBJ2-5,4
TRBV6-4,TRBJ2-5,0
TRBV6-5,TRBJ2-5,549
TRBV6-6,TRBJ2-5,386
TRBV6-7,TRBJ2-5,0
TRBV6-9,TRBJ2-5,1
TRBV7-2,TRBJ2-5,6
TRBV7-3,TRBJ2-5,345
TRBV7-6,TRBJ2-5,9
TRBV7-7,TRBJ2-5,0
TRBV7-8,TRBJ2-5,461
TRBV7-9,TRBJ2-5,129
TRBV9,TRBJ2-5,3475
TRBV10-1,TRBJ2-6,0
TRBV10-2,TRBJ2-6,0
TRBV10-3,TRBJ2-6,0
TRBV11-1,TRBJ2-6,0
TRBV11-2,TRBJ2-6,0
TRBV11-3,TRBJ2-6,0
TRBV12-2,TRBJ2-6,0
TRBV12-3,TRBJ2-6,0
TRBV12-4,TRBJ2-6,3
TRBV12-5,TRBJ2-6,0
TRBV13,TRBJ2-6,0
TRBV14,TRBJ2-6,0
TRBV15,TRBJ2-6,0
TRBV16,TRBJ2-6,0
TRBV18,TRBJ2-6,0
TRBV19,TRBJ2-6,0
TRBV2,TRBJ2-6,103
TRBV20-1,TRBJ2-6,1
TRBV21-1,TRBJ2-6,11
TRBV23-1,TRBJ2-6,0
TRBV24-1,TRBJ2-6,0
TRBV25-1,TRBJ2-6,0
TRBV27,TRBJ2-6,0
TRBV28,TRBJ2-6,676
TRBV29-1,TRBJ2-6,1
TRBV3-1,TRBJ2-6,5
TRBV3-2,TRBJ2-6,0
TRBV30,TRBJ2-6,0
TRBV4-1,TRBJ2-6,1
TRBV4-2,TRBJ2-6,24
TRBV4-3,TRBJ2-6,491
TRBV5-1,TRBJ2-6,0
TRBV5-3,TRBJ2-6,0
TRBV5-4,TRBJ2-6,0
TRBV5-5,TRBJ2-6,0
TRBV5-6,TRBJ2-6,0
TRBV5-8,TRBJ2-6,0
TRBV6-1,TRBJ2-6,0
TRBV6-2,TRBJ2-6,108
TRBV6-3,TRBJ2-6,12
TRBV6-4,TRBJ2-6,0
TRBV6-5,TRBJ2-6,291
TRBV6-6,TRBJ2-6,0
TRBV6-7,TRBJ2-6,0
TRBV6-9,TRBJ2-6,0
TRBV7-2,TRBJ2-6,0
TRBV7-3,TRBJ2-6,203
TRBV7-6,TRBJ2-6,0
TRBV7-7,TRBJ2-6,0
TRBV7-8,TRBJ2-6,0
TRBV7-9,TRBJ2-6,444
TRBV9,TRBJ2-6,2
TRBV10-1,TRBJ2-7,134
TRBV10-2,TRBJ2-7,6982
TRBV10-3,TRBJ2-7,3740
TRBV11-1,TRBJ2-7,5
TRBV11-2,TRBJ2-7,910
TRBV11-3,TRBJ2-7,6
TRBV12-2,TRBJ2-7,11
TRBV12-3,TRBJ2-7,199
TRBV12-4,TRBJ2-7,363
TRBV12-5,TRBJ2-7,1168
TRBV13,TRBJ2-7,1997
TRBV14,TRBJ2-7,5555
TRBV15,TRBJ2-7,188
TRBV16,TRBJ2-7,0
TRBV18,TRBJ2-7,130
TRBV19,TRBJ2-7,1576
TRBV2,TRBJ2-7,1857
TRBV20-1,TRBJ2-7,4083
TRBV21-1,TRBJ2-7,1842
TRBV23-1,TRBJ2-7,15
TRBV24-1,TRBJ2-7,2
TRBV25-1,TRBJ2-7,1
TRBV27,TRBJ2-7,6869
TRBV28,TRBJ2-7,9086
TRBV29-1,TRBJ2-7,208
TRBV3-1,TRBJ2-7,1249
TRBV3-2,TRBJ2-7,0
TRBV30,TRBJ2-7,727
TRBV4-1,TRBJ2-7,2919
TRBV4-2,TRBJ2-7,478
TRBV4-3,TRBJ2-7,463
TRBV5-1,TRBJ2-7,1989
TRBV5-3,TRBJ2-7,0
TRBV5-4,TRBJ2-7,0
TRBV5-5,TRBJ2-7,0
TRBV5-6,TRBJ2-7,326
TRBV5-8,TRBJ2-7,1
TRBV6-1,TRBJ2-7,1434
TRBV6-2,TRBJ2-7,999
TRBV6-3,TRBJ2-7,2550
TRBV6-4,TRBJ2-7,2
TRBV6-5,TRBJ2-7,4118
TRBV6-6,TRBJ2-7,2138
TRBV6-7,TRBJ2-7,0
TRBV6-9,TRBJ2-7,0
TRBV7-2,TRBJ2-7,118
TRBV7-3,TRBJ2-7,209
TRBV7-6,TRBJ2-7,163
TRBV7-7,TRBJ2-7,93
TRBV7-8,TRBJ2-7,118
TRBV7-9,TRBJ2-7,936
TRBV9,TRBJ2-7,3057
