TRBV,TRBJ,count
TRBV27,TRBJ1-6,276
TRBV28,TRBJ1-6,600
TRBV29-1,TRBJ1-6,1
TRBV3-1,TRBJ1-6,5
TRBV3-2,TRBJ1-6,120
TRBV30,TRBJ1-6,0
TRBV4-1,TRBJ1-6,2
TRBV4-2,TRBJ1-6,1
TRBV4-3,TRBJ1-6,32
TRBV5-1,TRBJ1-6,436
TRBV5-3,TRBJ1-6,0
TRBV5-4,TRBJ1-6,10
TRBV5-5,TRBJ1-6,0
TRBV5-6,TRBJ1-6,0
TRBV5-7,TRBJ1-6,0
TRBV5-8,TRBJ1-6,0
TRBV6-1,TRBJ1-6,11
TRBV6-2,TRBJ1-6,0
TRBV6-3,TRBJ1-6,38
TRBV6-4,TRBJ1-6,2
TRBV6-5,TRBJ1-6,36
TRBV6-6,TRBJ1-6,57
TRBV6-7,TRBJ1-6,0
TRBV6-9,TRBJ1-6,0
TRBV7-2,TRBJ1-6,61
TRBV7-3,TRBJ1-6,29
TRBV7-4,TRBJ1-6,0
TRBV7-5,TRBJ1-6,0
TRBV7-6,TRBJ1-6,0
TRBV7-7,TRBJ1-6,0
TRBV7-8,TRBJ1-6,23
TRBV7-9,TRBJ1-6,4538
TRBV9,TRBJ1-6,2298
TRBV1,TRBJ2-1,125
TRBV10-1,TRBJ2-1,2837
TRBV10-2,TRBJ2-1,667
TRBV10-3,TRBJ2-1,528
TRBV11-1,TRBJ2-1,19
TRBV11-2,TRBJ2-1,24185
TRBV11-3,TRBJ2-1,15
TRBV12-1,TRBJ2-1,1
TRBV12-2,TRBJ2-1,17
TRBV12-3,TRBJ2-1,191
TRBV12-4,TRBJ2-1,555
TRBV12-5,TRBJ2-1,0
TRBV13,TRBJ2-1,880
TRBV14,TRBJ2-1,379
TRBV15,TRBJ2-1,296
TRBV16,TRBJ2-1,87
TRBV18,TRBJ2-1,438
TRBV19,TRBJ2-1,313
TRBV2,TRBJ2-1,544
TRBV20-1,TRBJ2-1,3810
TRBV21-1,TRBJ2-1,201
TRBV23-1,TRBJ2-1,53
TRBV24-1,TRBJ2-1,781
TRBV25-1,TRBJ2-1,106
TRBV27,TRBJ2-1,2191
TRBV28,TRBJ2-1,11283
TRBV29-1,TRBJ2-1,969
TRBV3-1,TRBJ2-1,103
TRBV3-2,TRBJ2-1,75
TRBV30,TRBJ2-1,51
TRBV4-1,TRBJ2-1,634
TRBV4-2,TRBJ2-1,182
TRBV4-3,TRBJ2-1,1128
TRBV5-1,TRBJ2-1,2946
TRBV5-3,TRBJ2-1,0
TRBV5-4,TRBJ2-1,85
TRBV5-5,TRBJ2-1,113
TRBV5-6,TRBJ2-1,30
TRBV5-7,TRBJ2-1,0
TRBV5-8,TRBJ2-1,10
TRBV6-1,TRBJ2-1,129
TRBV6-2,TRBJ2-1,1079
TRBV6-3,TRBJ2-1,160
TRBV6-4,TRBJ2-1,54
TRBV6-5,TRBJ2-1,190
TRBV6-6,TRBJ2-1,604
TRBV6-7,TRBJ2-1,0
TRBV6-9,TRBJ2-1,74
TRBV7-2,TRBJ2-1,127
TRBV7-3,TRBJ2-1,268
TRBV7-4,TRBJ2-1,0
TRBV7-5,TRBJ2-1,0
TRBV7-6,TRBJ2-1,181
TRBV7-7,TRBJ2-1,213
TRBV7-8,TRBJ2-1,144
TRBV7-9,TRBJ2-1,2466
TRBV9,TRBJ2-1,1261
TRBV1,TRBJ2-2,0
TRBV10-1,TRBJ2-2,34
TRBV10-2,TRBJ2-2,2
TRBV10-3,TRBJ2-2,22
TRBV11-1,TRBJ2-2,0
TRBV11-2,TRBJ2-2,798
TRBV11-3,TRBJ2-2,13
TRBV12-1,TRBJ2-2,0
TRBV12-2,TRBJ2-2,0
