TRBV,TRBJ,count,Frequency,
TRBV5-3,TRBJ1-4,0,0,
TRBV5-4,TRBJ1-4,969,0.251700079,
TRBV5-5,TRBJ1-4,26,0.006753563,
TRBV5-6,TRBJ1-4,0,0,
TRBV5-8,TRBJ1-4,0,0,
TRBV6-1,TRBJ1-4,0,0,
TRBV6-2,TRBJ1-4,0,0,
TRBV6-3,TRBJ1-4,4,0.00103901,
TRBV6-4,TRBJ1-4,375,0.097407152,
TRBV6-5,TRBJ1-4,1,0.000259752,
TRBV6-6,TRBJ1-4,0,0,
TRBV6-7,TRBJ1-4,0,0,
TRBV6-9,TRBJ1-4,0,0,
TRBV7-2,TRBJ1-4,0,0,
TRBV7-3,TRBJ1-4,1,0.000259752,
TRBV7-6,TRBJ1-4,184,0.047794442,
TRBV7-7,TRBJ1-4,0,0,
TRBV7-8,TRBJ1-4,0,0,
TRBV7-9,TRBJ1-4,4969,1.290709696,
TRBV9,TRBJ1-4,0,0,
TRBV10-1,TRBJ1-5,0,0,
TRBV10-2,TRBJ1-5,0,0,
TRBV10-3,TRBJ1-5,0,0,
TRBV11-1,TRBJ1-5,0,0,
TRBV11-2,TRBJ1-5,0,0,
TRBV11-3,TRBJ1-5,0,0,
TRBV12-2,TRBJ1-5,0,0,
TRBV12-3,TRBJ1-5,1608,0.417681866,
TRBV12-4,TRBJ1-5,1,0.000259752,
TRBV12-5,TRBJ1-5,7,0.001818267,
TRBV13,TRBJ1-5,0,0,
TRBV14,TRBJ1-5,0,0,
TRBV15,TRBJ1-5,1293,0.335859858,
TRBV16,TRBJ1-5,0,0,
TRBV18,TRBJ1-5,9,0.002337772,
TRBV19,TRBJ1-5,383,0.099485171,
TRBV2,TRBJ1-5,175,0.045456671,
TRBV20-1,TRBJ1-5,812,0.210918952,
TRBV21-1,TRBJ1-5,53,0.013766877,
TRBV23-1,TRBJ1-5,0,0,
TRBV24-1,TRBJ1-5,0,0,
TRBV25-1,TRBJ1-5,0,0,
TRBV27,TRBJ1-5,66,0.017143659,
TRBV28,TRBJ1-5,6503,1.689169883,
TRBV29-1,TRBJ1-5,1,0.000259752,
TRBV3-1,TRBJ1-5,11,0.002857276,
TRBV3-2,TRBJ1-5,0,0,
TRBV30,TRBJ1-5,16,0.004156038,
TRBV4-1,TRBJ1-5,425,0.110394772,
TRBV4-2,TRBJ1-5,198,0.051430976,
TRBV4-3,TRBJ1-5,6,0.001558514,
TRBV5-1,TRBJ1-5,524,0.13611026,
TRBV5-3,TRBJ1-5,0,0,
TRBV5-4,TRBJ1-5,0,0,
TRBV5-5,TRBJ1-5,0,0,
TRBV5-6,TRBJ1-5,0,0,
TRBV5-8,TRBJ1-5,0,0,
TRBV6-1,TRBJ1-5,88,0.022858212,
TRBV6-2,TRBJ1-5,3,0.000779257,
TRBV6-3,TRBJ1-5,26,0.006753563,
TRBV6-4,TRBJ1-5,0,0,
TRBV6-5,TRBJ1-5,0,0,
TRBV6-6,TRBJ1-5,319,0.082861017,
TRBV6-7,TRBJ1-5,0,0,
TRBV6-9,TRBJ1-5,0,0,
TRBV7-2,TRBJ1-5,12,0.003117029,
TRBV7-3,TRBJ1-5,0,0,
TRBV7-6,TRBJ1-5,498,0.129356697,
TRBV7-7,TRBJ1-5,0,0,
TRBV7-8,TRBJ1-5,158,0.04104088,
TRBV7-9,TRBJ1-5,1,0.000259752,
TRBV9,TRBJ1-5,1,0.000259752,
TRBV10-1,TRBJ1-6,0,0,
TRBV10-2,TRBJ1-6,48,0.012468115,
TRBV10-3,TRBJ1-6,1,0.000259752,
TRBV11-1,TRBJ1-6,0,0,
TRBV11-2,TRBJ1-6,4,0.00103901,
TRBV11-3,TRBJ1-6,0,0,
TRBV12-2,TRBJ1-6,0,0,
TRBV12-3,TRBJ1-6,1,0.000259752,
TRBV12-4,TRBJ1-6,0,0,
TRBV12-5,TRBJ1-6,0,0,
TRBV13,TRBJ1-6,8,0.002078019,
TRBV14,TRBJ1-6,0,0,
TRBV15,TRBJ1-6,34,0.008831582,
TRBV16,TRBJ1-6,1,0.000259752,
TRBV18,TRBJ1-6,65,0.016883906,
TRBV19,TRBJ1-6,0,0,
TRBV2,TRBJ1-6,1760,0.457164231,
TRBV20-1,TRBJ1-6,26,0.006753563,
TRBV21-1,TRBJ1-6,0,0,
TRBV23-1,TRBJ1-6,0,0,
TRBV24-1,TRBJ1-6,0,0,
TRBV25-1,TRBJ1-6,3,0.000779257,
TRBV27,TRBJ1-6,309,0.080263493,
TRBV28,TRBJ1-6,587,0.152474661,
TRBV29-1,TRBJ1-6,1,0.000259752,
TRBV3-1,TRBJ1-6,0,0,
TRBV3-2,TRBJ1-6,0,0,
TRBV30,TRBJ1-6,0,0,
TRBV4-1,TRBJ1-6,18,0.004675543,
TRBV4-2,TRBJ1-6,61,0.015844897,
TRBV4-3,TRBJ1-6,283,0.07350993,
TRBV5-1,TRBJ1-6,2,0.000519505,
TRBV5-3,TRBJ1-6,0,0,
TRBV5-4,TRBJ1-6,0,0,
TRBV5-5,TRBJ1-6,0,0,
TRBV5-6,TRBJ1-6,2,0.000519505,
TRBV5-8,TRBJ1-6,0,0,
TRBV6-1,TRBJ1-6,0,0,
TRBV6-2,TRBJ1-6,0,0,
TRBV6-3,TRBJ1-6,131,0.034027565,
TRBV6-4,TRBJ1-6,0,0,
TRBV6-5,TRBJ1-6,0,0,
TRBV6-6,TRBJ1-6,0,0,
TRBV6-7,TRBJ1-6,0,0,
TRBV6-9,TRBJ1-6,0,0,
TRBV7-2,TRBJ1-6,62,0.016104649,
TRBV7-3,TRBJ1-6,34,0.008831582,
TRBV7-6,TRBJ1-6,0,0,
TRBV7-7,TRBJ1-6,0,0,
TRBV7-8,TRBJ1-6,0,0,
TRBV7-9,TRBJ1-6,767,0.199230094,
TRBV9,TRBJ1-6,28,0.007273067,
TRBV10-1,TRBJ2-1,7,0.001818267,
TRBV10-2,TRBJ2-1,1549,0.402356474,
TRBV10-3,TRBJ2-1,1723,0.447553392,
TRBV11-1,TRBJ2-1,521,0.135331002,
TRBV11-2,TRBJ2-1,1329,0.345210945,
TRBV11-3,TRBJ2-1,19,0.004935296,
TRBV12-2,TRBJ2-1,43,0.011169353,
TRBV12-3,TRBJ2-1,126,0.032728803,
TRBV12-4,TRBJ2-1,393,0.102082695,
TRBV12-5,TRBJ2-1,0,0,
TRBV13,TRBJ2-1,22239,5.776633713,
TRBV14,TRBJ2-1,226,0.058704043,
TRBV15,TRBJ2-1,58,0.015065639,
TRBV16,TRBJ2-1,67,0.017403411,
TRBV18,TRBJ2-1,359,0.093251113,
TRBV19,TRBJ2-1,701,0.182086435,
TRBV2,TRBJ2-1,1364,0.354302279,
TRBV20-1,TRBJ2-1,4343,1.128104691,
TRBV21-1,TRBJ2-1,38,0.009870591,
TRBV23-1,TRBJ2-1,76,0.019741183,
TRBV24-1,TRBJ2-1,6515,1.692286912,
TRBV25-1,TRBJ2-1,88,0.022858212,
TRBV27,TRBJ2-1,3935,1.02212571,
TRBV28,TRBJ2-1,6056,1.573060559,
TRBV29-1,TRBJ2-1,1475,0.383134796,
TRBV3-1,TRBJ2-1,109,0.028313012,
TRBV3-2,TRBJ2-1,0,0,
TRBV30,TRBJ2-1,0,0,
TRBV4-1,TRBJ2-1,1112,0.288844673,
TRBV4-2,TRBJ2-1,44,0.011429106,
TRBV4-3,TRBJ2-1,613,0.159228224,
TRBV5-1,TRBJ2-1,416,0.108057,
TRBV5-3,TRBJ2-1,17,0.004415791,
TRBV5-4,TRBJ2-1,81,0.021039945,
TRBV5-5,TRBJ2-1,2069,0.537427724,
TRBV5-6,TRBJ2-1,774,0.201048361,
TRBV5-8,TRBJ2-1,0,0,
TRBV6-1,TRBJ2-1,130,0.033767813,
TRBV6-2,TRBJ2-1,2114,0.549116582,
TRBV6-3,TRBJ2-1,98,0.025455736,
TRBV6-4,TRBJ2-1,97,0.025195983,
TRBV6-5,TRBJ2-1,196,0.050911471,
TRBV6-6,TRBJ2-1,29,0.00753282,
TRBV6-7,TRBJ2-1,0,0,
TRBV6-9,TRBJ2-1,0,0,
TRBV7-2,TRBJ2-1,499,0.12961645,
TRBV7-3,TRBJ2-1,939,0.243907507,
TRBV7-6,TRBJ2-1,0,0,
TRBV7-7,TRBJ2-1,8,0.002078019,
TRBV7-8,TRBJ2-1,4635,1.203952393,
TRBV7-9,TRBJ2-1,2167,0.562883459,
TRBV9,TRBJ2-1,2841,0.73795658,
TRBV10-1,TRBJ2-2,0,0,
TRBV10-2,TRBJ2-2,280,0.072730673,
TRBV10-3,TRBJ2-2,664,0.172475596,
TRBV11-1,TRBJ2-2,30,0.007792572,
TRBV11-2,TRBJ2-2,0,0,
TRBV11-3,TRBJ2-2,5,0.001298762,
TRBV12-2,TRBJ2-2,6,0.001558514,
TRBV12-3,TRBJ2-2,1,0.000259752,
TRBV12-4,TRBJ2-2,513,0.133252983,
TRBV12-5,TRBJ2-2,0,0,
TRBV13,TRBJ2-2,0,0,
TRBV14,TRBJ2-2,24,0.006234058,
TRBV15,TRBJ2-2,118,0.030650784,
TRBV16,TRBJ2-2,0,0,
TRBV18,TRBJ2-2,31,0.008052325,
TRBV19,TRBJ2-2,160,0.041560385,
TRBV2,TRBJ2-2,196,0.050911471,
TRBV20-1,TRBJ2-2,13160,3.418341637,
TRBV21-1,TRBJ2-2,0,0,
TRBV23-1,TRBJ2-2,5,0.001298762,
TRBV24-1,TRBJ2-2,11,0.002857276,
TRBV25-1,TRBJ2-2,0,0,
TRBV27,TRBJ2-2,8029,2.085552052,
TRBV28,TRBJ2-2,1075,0.279233834,
TRBV29-1,TRBJ2-2,383,0.099485171,
TRBV3-1,TRBJ2-2,1,0.000259752,
TRBV3-2,TRBJ2-2,82,0.021299697,
TRBV30,TRBJ2-2,1,0.000259752,
TRBV4-1,TRBJ2-2,23,0.005974305,
TRBV4-2,TRBJ2-2,1464,0.380277519,
TRBV4-3,TRBJ2-2,213,0.055327262,
TRBV5-1,TRBJ2-2,63,0.016364401,
TRBV5-3,TRBJ2-2,0,0,
TRBV5-4,TRBJ2-2,0,0,
TRBV5-5,TRBJ2-2,677,0.175852378,
TRBV5-6,TRBJ2-2,86,0.022338707,
TRBV5-8,TRBJ2-2,0,0,
TRBV6-1,TRBJ2-2,0,0,
TRBV6-2,TRBJ2-2,150,0.038962861,
TRBV6-3,TRBJ2-2,0,0,
TRBV6-4,TRBJ2-2,49,0.012727868,
TRBV6-5,TRBJ2-2,299,0.077665969,
TRBV6-6,TRBJ2-2,13,0.003376781,
TRBV6-7,TRBJ2-2,6,0.001558514,
TRBV6-9,TRBJ2-2,0,0,
TRBV7-2,TRBJ2-2,35,0.009091334,
TRBV7-3,TRBJ2-2,342,0.088835322,
TRBV7-6,TRBJ2-2,20,0.005195048,
